round_end_date,trial_id,participant_id,round_number,practice_round,num_rounds_since_survey,input_lag,time_for_round, total_screen_width,total_screen_height,time_to_react_from_enemy_bullet,num_invaders_hit,time_of_invader_hit,player_missed_shots,x_pos_of_invader_at_hit,x_pos_of_bullet_at_invader_hit,num_player_shots,num_finished_shots,paddle_width,paddle_takes_percent_width_of_screen,num_errors,time_of_error,pos_of_player_at_error,pos_of_bullet_at_error,errors_per_second,errors_per_danger_second,expected_errors_per_second,num_enemy_bullets_fired,enemy_bullets_fired_per_second_rate,seconds_per_enemy_bullet,max_num_active_enemy_bullets,bullet_speed
2/20/2018 12:09:40 PM,0,0,1,1,1,0,5.024416,16,10,0.9,3,2.612759:3.50464:4.450093,0,0.6624012:0.1571429:0.1379383,0.2962961:0.2962961:0.2962961,4,3,1,0.0625,0,0,0,0,0,0,0.4583333,30,6.666667,0.15,6,9.222222
2/20/2018 12:09:43 PM,0,0,2,0,2,0,10.01765,16,10,0.9,8,0.7687389:1.634008:2.616386:4.112422:5.178788:6.088338:7.149931:9.308624,1,-0.02704334:-4.005432E-05:0.6457744:0.6247931:0.255578:0.2834214:0.1722434:0.4901602,0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961,10,9,1,0.0625,2,2.560914:8.865799,0.2962961:0.2962961,-0.2462568:0.6163073,0.1996477,0.2193548,0.4583333,56,6.666667,0.15,6,9.222222
2/20/2018 12:09:45 PM,0,0,3,0,3,100,10.03551,16,10,0.9,8,0.7907892:1.696841:2.627971:3.884286:4.764186:5.86132:7.04878:9.291177,2,0.04164219:-0.009310484:0.6039789:0.08103251:1.382828E-05:0.6208014:-0.04765475:0.5314449,0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961,10,10,1,0.0625,1,2.429815,0.2962961,0.1764708,0.09964613,0.1094629,0.4583333,55,6.666667,0.15,5,9.222222
2/20/2018 12:09:48 PM,0,0,4,0,4,200,10.04095,16,10,0.9,8,0.7870727:1.639282:2.632412:3.496017:4.36415:5.585703:6.472147:9.306743,2,0.03176951:-0.000371933:0.6026745:0.1009398:0.2278435:-0.01727462:0.4260252:0.6657889,0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961,10,10,1,0.0625,1,7.508818,0.2962961,0.7467833,0.09959213,0.1093978,0.4583333,56,6.666667,0.15,6,9.222222
2/20/2018 12:09:51 PM,0,0,5,0,5,300,10.0185,16,10,0.9,9,0.7418444:1.639683:2.611125:3.469975:4.346971:5.584211:6.472219:7.680501:9.96513,2,-0.06774759:-0.0009362698:0.6313062:0.1841768:0.2836838:-0.04579806:0.428268:-0.07099891:0.5719731,0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961,10,11,1,0.0625,2,3.86928:8.090587,0.2962961:0.2962961,-0.2468309:-0.01951313,0.1996307,0.2193344,0.4583333,56,6.666667,0.15,6,9.222222
2/20/2018 12:09:53 PM,0,0,6,0,6,400,10.01935,16,10,0.9,10,0.7827476:1.667843:2.773757:3.704261:4.594425:5.663783:6.5237:7.706778:8.911149:9.757185,0,0.02772045:-0.0005745888:0.2327204:0.5137252:0.04325914:0.1487139:0.5660014:-0.0576086:0.6258118:0.1385005,0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961,11,10,1,0.0625,3,1.297559:7.056127:9.962873,0.2962961:0.2962961:0.2962961,0.5528708:0.02153111:0.1288443,0.2994207,0.3289709,0.4583333,56,6.666667,0.15,5,9.222222
2/20/2018 12:09:54 PM,0,0,7,1,1,0,5.035309,16,10,0.8,5,0.8891545:1.774114:2.62067:3.653347:4.531847,1,0.2217455:-0.03099465:0.6088816:0.6474766:0.07531857,0.2962961:0.2962961:0.2962961:0.2962961:0.2962961,6,6,1,0.0625,1,2.158208,0.2962961,-0.03976345,0.1985975,0.2361103,0.4583333,28,6.666667,0.15,5,10.375
2/20/2018 12:09:57 PM,0,0,8,0,2,0,10.03866,16,10,0.8,10,0.7839236:1.641644:2.642682:3.533886:4.407404:5.569652:6.460342:7.714863:8.776702:9.948853,1,0.03257442:-2.646446E-05:0.5737448:0.04203737:0.1751716:-0.06769443:0.3970295:-0.06177068:-0.0279355:0.6314857,0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961,11,11,1,0.0625,2,5.680879:8.505296,0.2962961:0.2962961,0.1432962:0.3620958,0.1992297,0.2164815,0.4583333,57,6.666667,0.15,4,10.375
2/20/2018 12:09:59 PM,0,0,9,0,3,100,10.01422,16,10,0.8,10,0.7703931:1.645425:2.626507:3.487885:4.375623:5.61687:6.511137:7.702822:8.903934:9.959963,1,-0.04292405:-0.0001554489:0.5858364:0.2216568:0.216042:0.02134895:0.5456012:-0.05885291:0.6466336:0.5898044,0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961,10,11,1,0.0625,4,3.552587:3.746681:6.588116:8.377989,0.2962961:0.2962961:0.2962961:0.2962961,-0.08631039:-0.07631969:-0.2686224:0.5908365,0.3994322,0.4341118,0.4583333,55,6.666667,0.15,5,10.375
2/20/2018 12:10:02 PM,0,0,10,0,4,200,10.01975,16,10,0.8,9,0.7813107:1.66218:2.613906:3.424788:4.326967:5.430551:6.344719:8.661484:9.715736,1,0.0197947:-0.002175093:0.6378555:0.4234748:0.2972147:0.6443837:0.02371959:0.1787734:0.3238599,0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961:0.2962961,11,10,1,0.0625,4,1.016175:3.629982:5.605176:7.914165,0.2962961:0.2962961:0.2962961:0.2962961,0.7347746:-0.1432276:0.08768368:0.647893,0.3992115,0.4338512,0.4583333,57,6.666667,0.15,6,10.375
