round_end_date,trial_id,participant_id,round_number,practice_round,num_rounds_since_survey,input_lag,time_for_round,device,total_bounces,player_bounces,wall_bounces,unskilled_bounces,skilled_bounces,skilled_bounces_minus_misses,highest_skill_streak,time_needed_on_skilled_bounces,avg_time_needed_on_skilled_bounces,time_needed_on_unskilled_bounces,avg_time_needed_on_unskilled_bounces,time_needed_on_all_bounces,avg_time_needed_on_all_bounces,total_misses,unskilled_misses,skilled_misses,avg_dist_missed_by,all_distances_missed_by,paddle_positions_on_miss,ball_positions_on_miss,mouse_x_positions_on_miss,mouse_y_positions_on_miss,mouse_game_x_positions_on_miss,mouse_game_y_positions_on_miss,total_bounces_per_miss,unskilled_bounces_per_miss,skilled_bounces_per_miss,percent_bounces_missed,percent_skilled_bounces_missed,time_needed_on_skilled_misses,avg_time_needed_on_skilled_misses,time_needed_on_unskilled_misses,avg_time_needed_on_unskilled_misses,time_needed_on_all_misses,avg_time_needed_on_all_misses,min_ball_tat,paddle_width,ball_radius,ball_speed,distance_between_players,total_screen_width, paddle_takes_percent_of_screen,TLX_mental_demand,TLX_physical_demand,TLX_temporal_demand,TLX_performance,TLX_effort,TLX_frustration,device_was_fun,perf_due_to_me
10/30/2017 3:23:11 PM,1,0,1,1,1,0,0.5026575,Mouse,1,1,0,1,0,0,0,0,0,3.292874,3.292874,3.292874,3.292874,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.6,1,0.25,10,6,15.99665,0.06251308,1,2,3,4,5,6,4,4
10/30/2017 3:23:15 PM,1,0,2,0,2,0,1.004199,Mouse,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,1,0,2.806326,-2.806326,1.499476,-1.30685,567,103,1.499476,-3.274707,0,0,0,1,1,0,0,3.332061,3.332061,3.332061,3.332061,0.6,1,0.25,10,6,15.99665,0.06251308,1,2,3,4,5,6,4,4
10/30/2017 3:23:16 PM,1,0,3,0,3,100,1.025559,Mouse,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,1,0,2.176813,-2.176813,3.627225,1.450412,694,114,3.627225,-3.090452,0,0,0,1,1,0,0,3.375962,3.375962,3.375962,3.375962,0.6,1,0.25,10,6,15.99665,0.06251308,1,2,3,4,5,6,4,4
10/30/2017 3:23:18 PM,1,0,4,0,4,200,1.01962,Mouse,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,1,0,5.377529,-5.377529,3.627225,-1.750304,694,114,3.627225,-3.090452,0,0,0,1,1,0,0,3.326992,3.326992,3.326992,3.326992,0.6,1,0.25,10,6,15.99665,0.06251308,1,2,3,4,5,6,4,4
10/30/2017 3:23:21 PM,1,0,5,0,5,300,1.00511,Mouse,2,1,1,1,0,0,0,0,0,3.261976,3.261976,3.261976,3.261976,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.6,1,0.25,10,6,15.99665,0.06251308,1,2,3,4,5,6,4,4
10/30/2017 3:23:37 PM,1,0,6,1,1,0,0.5022525,Mouse,1,1,0,1,0,0,0,0,0,3.289598,3.289598,3.289598,3.289598,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.6,1,0.25,10,6,15.99665,0.06251308,1,2,3,4,5,6,1,2
10/30/2017 3:23:38 PM,1,0,7,0,2,0,1.008443,Mouse,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,1,0,3.686584,-3.686584,2.169634,-1.516951,607,94,2.169634,-3.42546,0,0,0,1,1,0,0,3.363487,3.363487,3.363487,3.363487,0.6,1,0.25,10,6,15.99665,0.06251308,1,2,3,4,5,6,1,2
10/30/2017 3:23:39 PM,1,0,8,0,3,100,1.023161,Mouse,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,1,0,2.55966,-2.55966,2.169634,-0.3900259,607,94,2.169634,-3.42546,0,0,0,1,1,0,0,3.306957,3.306957,3.306957,3.306957,0.6,1,0.25,10,6,15.99665,0.06251308,1,2,3,4,5,6,1,2
10/30/2017 3:23:40 PM,1,0,9,0,4,200,1.017865,Mouse,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,1,0,2.267014,-2.267014,2.169634,-0.09737988,607,94,2.169634,-3.42546,0,0,0,1,1,0,0,3.304249,3.304249,3.304249,3.304249,0.6,1,0.25,10,6,15.99665,0.06251308,1,2,3,4,5,6,1,2
10/30/2017 3:23:43 PM,1,0,10,0,5,300,1.004464,Mouse,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,1,0,2.940916,-2.940916,2.169634,-0.7712825,607,94,2.169634,-3.42546,0,0,0,1,1,0,0,3.285553,3.285553,3.285553,3.285553,0.6,1,0.25,10,6,15.99665,0.06251308,1,2,3,4,5,6,1,2
10/30/2017 3:23:48 PM,1,0,11,1,1,0,0.5269489,Mouse,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,1,0,2.168624,-2.168624,3.526702,1.358078,688,108,3.526702,-3.190955,0,0,0,1,1,0,0,3.367039,3.367039,3.367039,3.367039,0.6,1,0.25,10,6,15.99665,0.06251308,1,2,3,5,5,1,2,3
10/30/2017 3:23:49 PM,1,0,12,0,2,0,1.031801,Mouse,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,1,0,2.432657,-2.432657,3.526702,1.094045,688,108,3.526702,-3.190955,0,0,0,1,1,0,0,3.322926,3.322926,3.322926,3.322926,0.6,1,0.25,10,6,15.99665,0.06251308,1,2,3,5,5,1,2,3
10/30/2017 3:23:50 PM,1,0,13,0,3,100,1.000666,Mouse,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,1,0,4.190619,-4.190619,3.526702,-0.6639172,688,108,3.526702,-3.190955,0,0,0,1,1,0,0,3.334545,3.334545,3.334545,3.334545,0.6,1,0.25,10,6,15.99665,0.06251308,1,2,3,5,5,1,2,3
