trial_id,participant_id,round_number,practice_round,num_rounds_since_survey,input_lag,time_for_round,total_bounces,player_bounces,wall_bounces,unskilled_bounces,skilled_bounces,skilled_bounces_minus_misses,highest_skill_streak,time_needed_on_skilled_bounces,avg_time_needed_on_skilled_bounces,time_needed_on_unskilled_bounces,avg_time_needed_on_unskilled_bounces,time_needed_on_all_bounces,avg_time_needed_on_all_bounces,total_misses,unskilled_misses,skilled_misses,avg_dist_missed_by,total_bounces_per_miss,unskilled_bounces_per_miss,skilled_bounces_per_miss,percent_bounces_missed,percent_skilled_bounces_missed,time_needed_on_skilled_misses,avg_time_needed_on_skilled_misses,time_needed_on_unskilled_misses,avg_time_needed_on_unskilled_misses,time_needed_on_all_misses,avg_time_needed_on_all_misses,min_ball_tat,paddle_width,ball_radius,ball_speed,distance_between_players,total_screen_width, paddle_takes_percent_of_screen,feel_capable,was_fun,amount_of_effort,perf_due_to_me,responsive,irritated
3,919,1,1,0,0,35.04904,14,7,7,3,4,-6,3,0.6260004:0.6409998:0.6370001:0.592001,0.6240003,3.290932:1.334001:1.746,2.123644,3.290932:0.6260004:0.6409998:0.6370001:1.334001:0.592001:1.746,1.266705,10,7,3,3.536589,0.7,0.3,0.4,0.5882353,0.7142857,0.6549997:0.6139984:0.6329994,0.6339992,1.913:1.964001:2.269001:3.16:3.685001:4.022999:3.986,3,0.6549997:0.6139984:0.6329994:1.913:1.964001:2.269001:3.16:3.685001:4.022999:3.986,2.2902,0.6,1,0.25,10,6,16.01563,0.06243902,1,2,3,4,5,1
3,919,2,0,0,50,70.15252,10,5,5,2,3,-23,3,0.5899963:0.6179962:0.6090012,0.6056646,3.608002:2.128998,2.8685,3.608002:2.128998:0.5899963:0.6179962:0.6090012,1.510799,26,24,2,3.687459,0.1923077,0.07692308,0.1153846,0.8387097,0.8965517,0.6380005:0.6780014,0.6580009,3.713997:3.315998:2.466999:2.040001:2.314999:2.417999:2.488007:2.350998:3.618996:4.029007:3.237:3.105995:2.459999:2.198006:2.465996:2.149002:2.074997:1.934006:1.990997:1.892998:1.959:1.903999:2.015007:1.917,2.502542,3.713997:0.6380005:3.315998:2.466999:2.040001:2.314999:2.417999:2.488007:0.6780014:2.350998:3.618996:4.029007:3.237:3.105995:2.459999:2.198006:2.465996:2.149002:2.074997:1.934006:1.990997:1.892998:1.959:1.903999:2.015007:1.917,2.360654,0.6,1,0.25,10,6,16.01563,0.06243902,1,2,3,4,5,1
3,919,3,0,0,250,70.03696,0,0,0,0,0,-34,0,0,0,0,0,0,0,34,34,0,3.805948,0,0,0,1,1,0,0,3.313072:1.323997:1.625:1.841995:2.065002:1.807999:1.818008:1.813004:1.934998:1.423996:1.636993:1.733002:1.902008:2.138:1.856995:2.152008:2.095001:1.839996:1.352005:1.466995:1.703003:1.715988:2.318008:1.800003:1.951996:1.843994:1.921005:2.111008:2.475998:2.891998:3.026993:3.589005:3.914993:3.634003,2.118767,3.313072:1.323997:1.625:1.841995:2.065002:1.807999:1.818008:1.813004:1.934998:1.423996:1.636993:1.733002:1.902008:2.138:1.856995:2.152008:2.095001:1.839996:1.352005:1.466995:1.703003:1.715988:2.318008:1.800003:1.951996:1.843994:1.921005:2.111008:2.475998:2.891998:3.026993:3.589005:3.914993:3.634003,2.118767,0.6,1,0.25,10,6,16.01563,0.06243902,5,4,3,2,1,5
3,919,4,0,0,0,70.94004,12,6,6,1,5,-23,5,0.602005:0.6060028:0.5860138:0.6320038:0.5869904,0.6026031,1.964996,1.964996,1.964996:0.602005:0.6060028:0.5860138:0.6320038:0.5869904,0.8296687,28,27,1,4.799105,0.2142857,0.03571429,0.1785714,0.8235294,0.8484849,0.6000061,0.6000061,3.329376:1.457001:1.697998:1.917007:2.589996:2.160995:2.212006:2.018997:2.018997:1.906006:2.054001:1.949005:2.149994:2.206009:2.074005:2.416992:2.470001:2.121002:2.755997:3.235001:2.996002:2.617004:2.136993:2.077011:2.242981:2.533997:3.058014,2.3112,3.329376:1.457001:1.697998:1.917007:2.589996:2.160995:2.212006:2.018997:2.018997:1.906006:2.054001:1.949005:0.6000061:2.149994:2.206009:2.074005:2.416992:2.470001:2.121002:2.755997:3.235001:2.996002:2.617004:2.136993:2.077011:2.242981:2.533997:3.058014,2.250086,0.6,1,0.25,10,6,16.01563,0.06243902,2,3,4,5,1,2
3,919,5,0,0,200,70.00085,14,7,7,1,6,-26,6,0.6019897:0.5780029:0.6109924:0.6220093:0.5969849:0.6380005,0.6079966,1.314026,1.314026,1.314026:0.6019897:0.5780029:0.6109924:0.6220093:0.5969849:0.6380005,0.708858,32,31,1,4.970939,0.21875,0.03125,0.1875,0.8205128,0.8421053,0.6279907,0.6279907,3.328247:1.339996:1.654022:1.929993:2.165985:2.003021:2.134003:1.863983:1.852997:1.667999:1.676025:1.964996:2.056:2.182983:2.45401:2.403992:2.537018:2.449982:2.242004:2.278992:2.056:1.807007:1.843994:2.180023:2.041992:2.153992:2.399017:1.334991:1.348999:1.365997:1.364014,2.002654,3.328247:0.6279907:1.339996:1.654022:1.929993:2.165985:2.003021:2.134003:1.863983:1.852997:1.667999:1.676025:1.964996:2.056:2.182983:2.45401:2.403992:2.537018:2.449982:2.242004:2.278992:2.056:1.807007:1.843994:2.180023:2.041992:2.153992:2.399017:1.334991:1.348999:1.365997:1.364014,1.959696,0.6,1,0.25,10,6,16.01563,0.06243902,3,4,5,1,2,3
3,919,6,0,0,100,70.39177,10,5,5,1,4,-28,4,0.6049805:0.6560059:0.5859985:0.6019897,0.6122437,3.282837,3.282837,3.282837:0.6049805:0.6560059:0.5859985:0.6019897,1.146362,32,31,1,6.691391,0.15625,0.03125,0.125,0.8648649,0.8888889,0.6579895,0.6579895,1.324005:1.602997:1.722992:1.955017:1.96698:2.098022:2.086975:2.173004:2.187012:2.321991:2.253998:2.102997:2.126007:2.006989:2.276001:2.460022:2.05899:2.186005:2.194:2.221985:1.946014:1.729004:1.96698:2.036011:2.187988:1.768005:1.821014:1.910004:1.679993:1.906006:2.010986,2.00929,0.6579895:1.324005:1.602997:1.722992:1.955017:1.96698:2.098022:2.086975:2.173004:2.187012:2.321991:2.253998:2.102997:2.126007:2.006989:2.276001:2.460022:2.05899:2.186005:2.194:2.221985:1.946014:1.729004:1.96698:2.036011:2.187988:1.768005:1.821014:1.910004:1.679993:1.906006:2.010986,1.967062,0.6,1,0.25,10,6,16.01563,0.06243902,3,4,5,1,2,3
3,919,7,0,0,150,70.19036,12,6,6,6,0,-30,0,0,0,2.070984:2.542999:2.860992:1.714996:1.862:1.756989,2.134827,2.070984:2.542999:2.860992:1.714996:1.862:1.756989,2.134827,30,24,6,2.950746,0.2,0.2,0,0.8333333,1,0.6740112:0.6009827:0.6380005:0.6009827:0.6020203:0.6459961,0.6269989,3.332123:1.627991:1.838989:1.837006:2.080017:2.253998:2.371979:2.632019:2.471985:2.621002:2.062988:2.071014:1.789978:1.725006:2.122009:1.957001:1.964996:2.005981:2.118011:2.024994:1.972992:2.261017:2.052002:2.110992,2.137754,3.332123:1.627991:1.838989:1.837006:2.080017:2.253998:0.6740112:2.371979:2.632019:2.471985:0.6009827:0.6380005:2.621002:2.062988:2.071014:1.789978:1.725006:0.6009827:2.122009:1.957001:1.964996:0.6020203:2.005981:2.118011:2.024994:1.972992:2.261017:2.052002:2.110992:0.6459961,1.835603,0.6,1,0.25,10,6,16.01563,0.06243902,3,4,5,1,2,3
3,919,8,1,0,0,35.00608,0,0,0,0,0,-28,0,0,0,0,0,0,0,28,28,0,4.60554,0,0,0,1,1,0,0,3.270538:1.291992:1.264008:1.260986:1.269012:1.276001:1.316986:1.27301:1.290009:1.286011:1.300995:1.266998:1.30899:1.268005:1.277985:1.275024:1.290985:1.269012:1.292969:1.281006:1.263:1.267029:1.286011:1.299988:1.266968:1.281006:1.312988:1.270996,1.352804,3.270538:1.291992:1.264008:1.260986:1.269012:1.276001:1.316986:1.27301:1.290009:1.286011:1.300995:1.266998:1.30899:1.268005:1.277985:1.275024:1.290985:1.269012:1.292969:1.281006:1.263:1.267029:1.286011:1.299988:1.266968:1.281006:1.312988:1.270996,1.352804,0.5,1,0.25,12,6,16.01563,0.06243902,4,5,1,2,3,4
3,919,9,0,0,50,70.00746,6,3,3,2,1,-51,1,0.5040283,0.5040283,1.255981:1.279968,1.267975,1.255981:1.279968:0.5040283,1.013326,52,50,2,3.033897,0.05769231,0.03846154,0.01923077,0.9454545,0.9811321,0.5289917:0.5670166,0.5480042,3.267578:1.270996:1.271973:1.30304:1.286987:1.27301:1.272949:1.281006:1.280029:1.299988:1.309998:1.289001:1.30603:1.273987:1.273987:1.309998:1.270996:1.270996:1.281006:1.299011:1.276978:1.264038:1.304993:1.276001:1.305969:1.270996:1.275024:1.27002:1.268982:1.291992:1.304016:1.276001:1.299011:1.292969:1.27301:1.276001:1.283997:1.307007:1.266968:1.305054:1.291992:1.281982:1.284973:1.299011:1.28302:1.286011:1.276001:1.268982:1.280029:1.268982,1.324051,3.267578:0.5289917:0.5670166:1.270996:1.271973:1.30304:1.286987:1.27301:1.272949:1.281006:1.280029:1.299988:1.309998:1.289001:1.30603:1.273987:1.273987:1.309998:1.270996:1.270996:1.281006:1.299011:1.276978:1.264038:1.304993:1.276001:1.305969:1.270996:1.275024:1.27002:1.268982:1.291992:1.304016:1.276001:1.299011:1.292969:1.27301:1.276001:1.283997:1.307007:1.266968:1.305054:1.291992:1.281982:1.284973:1.299011:1.28302:1.286011:1.276001:1.268982:1.280029:1.268982,1.294204,0.5,1,0.25,12,6,16.01563,0.06243902,4,5,1,2,3,4
3,919,10,0,0,250,70.39231,0,0,0,0,0,-40,0,0,0,0,0,0,0,40,40,0,2.86526,0,0,0,1,1,0,0,3.257263:1.299988:1.273987:1.440979:1.540039:1.984009:1.889954:2.037048:1.837952:1.869019:1.921021:1.799011:1.891968:1.866028:2.143982:1.809021:1.945984:1.274963:1.291016:1.30304:1.296997:1.297974:1.640991:1.460022:1.671021:2.178955:1.765991:1.787048:1.849976:1.622009:1.601013:1.859009:1.761963:1.757996:2.356995:2.022034:1.859009:1.905945:1.636047:2.269958,1.781931,3.257263:1.299988:1.273987:1.440979:1.540039:1.984009:1.889954:2.037048:1.837952:1.869019:1.921021:1.799011:1.891968:1.866028:2.143982:1.809021:1.945984:1.274963:1.291016:1.30304:1.296997:1.297974:1.640991:1.460022:1.671021:2.178955:1.765991:1.787048:1.849976:1.622009:1.601013:1.859009:1.761963:1.757996:2.356995:2.022034:1.859009:1.905945:1.636047:2.269958,1.781931,0.5,1,0.25,12,6,16.01563,0.06243902,4,5,1,2,3,4
